"observation","site_no","dateTime","water discharge","nitrite+nitrate","latitude","longitude","altitude"
"108","04175748",2021-07-23,5.59,1.7,41.8579611,-84.1596944,798.79
"109","04175748",2021-07-24,22.2,2.43,41.8579611,-84.1596944,798.79
"110","04175748",2021-07-25,209,1.91,41.8579611,-84.1596944,798.79
"111","04175748",2021-07-26,79.9,2.01,41.8579611,-84.1596944,798.79
"112","04175748",2021-07-27,30.5,1.77,41.8579611,-84.1596944,798.79
"113","04175748",2021-07-28,15.3,1.53,41.8579611,-84.1596944,798.79
"114","04175748",2021-07-29,10.1,1.3,41.8579611,-84.1596944,798.79
"115","04175748",2021-07-30,7.14,1.1,41.8579611,-84.1596944,798.79
"116","04175748",2021-07-31,4.86,0.898,41.8579611,-84.1596944,798.79
"117","04175748",2021-08-01,3.62,0.8,41.8579611,-84.1596944,798.79
"118","04175748",2021-08-02,2.79,0.8,41.8579611,-84.1596944,798.79
"119","04175748",2021-08-03,2.18,0.8,41.8579611,-84.1596944,798.79
"120","04175748",2021-08-04,1.73,0.8,41.8579611,-84.1596944,798.79
"121","04175748",2021-08-05,1.37,0.8,41.8579611,-84.1596944,798.79
"122","04175748",2021-08-06,1.09,0.8,41.8579611,-84.1596944,798.79
"123","04175748",2021-08-07,1.16,0.8,41.8579611,-84.1596944,798.79
"124","04175748",2021-08-08,1.05,0.8,41.8579611,-84.1596944,798.79
"125","04175748",2021-08-09,0.76,0.8,41.8579611,-84.1596944,798.79
"126","04175748",2021-08-10,1.25,0.8,41.8579611,-84.1596944,798.79
"127","04175748",2021-08-11,2.36,0.8,41.8579611,-84.1596944,798.79
"128","04175748",2021-08-12,6.23,0.8,41.8579611,-84.1596944,798.79
"129","04175748",2021-08-13,5.11,0.8,41.8579611,-84.1596944,798.79
"130","04175748",2021-08-14,2.4,0.8,41.8579611,-84.1596944,798.79
"131","04175748",2021-08-15,1.41,0.8,41.8579611,-84.1596944,798.79
"132","04175748",2021-08-16,0.93,0.8,41.8579611,-84.1596944,798.79
"133","04175748",2021-08-17,0.72,0.8,41.8579611,-84.1596944,798.79
"134","04175748",2021-08-18,0.58,0.8,41.8579611,-84.1596944,798.79
"135","04175748",2021-08-19,0.37,0.8,41.8579611,-84.1596944,798.79
"136","04175748",2021-08-20,0.24,0.8,41.8579611,-84.1596944,798.79
"137","04175748",2021-08-21,0.16,0.8,41.8579611,-84.1596944,798.79
"138","04175748",2021-08-22,0.11,0.8,41.8579611,-84.1596944,798.79
"139","04175748",2021-08-23,0.07,0.8,41.8579611,-84.1596944,798.79
"140","04175748",2021-08-24,0.06,0.8,41.8579611,-84.1596944,798.79
"141","04175748",2021-08-25,0.09,0.8,41.8579611,-84.1596944,798.79
"142","04175748",2021-08-26,0.09,0.8,41.8579611,-84.1596944,798.79
"143","04175748",2021-08-27,0.09,0.8,41.8579611,-84.1596944,798.79
"144","04175748",2021-08-28,0.1,0.8,41.8579611,-84.1596944,798.79
"145","04175748",2021-08-29,0.11,0.8,41.8579611,-84.1596944,798.79
"146","04175748",2021-08-30,0.14,0.8,41.8579611,-84.1596944,798.79
"147","04175748",2021-08-31,0.12,0.8,41.8579611,-84.1596944,798.79
"148","04175748",2021-09-01,0.1,0.8,41.8579611,-84.1596944,798.79
"149","04175748",2021-09-02,0.1,0.8,41.8579611,-84.1596944,798.79
"150","04175748",2021-09-03,0.08,0.8,41.8579611,-84.1596944,798.79
"151","04175748",2021-09-04,0.08,0.8,41.8579611,-84.1596944,798.79
"152","04175748",2021-09-05,0.09,0.8,41.8579611,-84.1596944,798.79
"153","04175748",2021-09-06,0.07,0.8,41.8579611,-84.1596944,798.79
"154","04175748",2021-09-07,0.07,0.8,41.8579611,-84.1596944,798.79
"155","04175748",2021-09-08,0.13,0.8,41.8579611,-84.1596944,798.79
"156","04175748",2021-09-09,0.08,0.8,41.8579611,-84.1596944,798.79
"157","04175748",2021-09-10,0.07,0.8,41.8579611,-84.1596944,798.79
"158","04175748",2021-09-11,0.07,0.8,41.8579611,-84.1596944,798.79
"159","04175748",2021-09-12,0.07,0.8,41.8579611,-84.1596944,798.79
"160","04175748",2021-09-13,0.07,0.8,41.8579611,-84.1596944,798.79
"161","04175748",2021-09-14,0.45,0.8,41.8579611,-84.1596944,798.79
"162","04175748",2021-09-15,2.13,0.8,41.8579611,-84.1596944,798.79
"163","04175748",2021-09-16,0.65,0.8,41.8579611,-84.1596944,798.79
"164","04175748",2021-09-17,0.21,0.8,41.8579611,-84.1596944,798.79
"165","04175748",2021-09-18,0.11,0.8,41.8579611,-84.1596944,798.79
"166","04175748",2021-09-19,0.08,0.8,41.8579611,-84.1596944,798.79
"167","04175748",2021-09-20,0.07,0.8,41.8579611,-84.1596944,798.79
"168","04175748",2021-09-21,0.12,0.8,41.8579611,-84.1596944,798.79
"169","04175748",2021-09-22,7.48,1.94,41.8579611,-84.1596944,798.79
"170","04175748",2021-09-23,147,3.98,41.8579611,-84.1596944,798.79
"171","04175748",2021-09-24,94.6,4.06,41.8579611,-84.1596944,798.79
"172","04175748",2021-09-25,44.6,3.46,41.8579611,-84.1596944,798.79
"173","04175748",2021-09-26,29.2,2.51,41.8579611,-84.1596944,798.79
"174","04175748",2021-09-27,15.8,1.55,41.8579611,-84.1596944,798.79
"175","04175748",2021-09-28,10.4,0.84,41.8579611,-84.1596944,798.79
"176","04175748",2021-09-29,7.55,0.8,41.8579611,-84.1596944,798.79
"177","04175748",2021-09-30,5.78,0.8,41.8579611,-84.1596944,798.79
"178","04175748",2021-10-01,4.67,0.8,41.8579611,-84.1596944,798.79
"179","04175748",2021-10-02,4.38,0.8,41.8579611,-84.1596944,798.79
"180","04175748",2021-10-03,18.6,2.37,41.8579611,-84.1596944,798.79
"181","04175748",2021-10-04,92,4.18,41.8579611,-84.1596944,798.79
"182","04175748",2021-10-05,80.5,3.34,41.8579611,-84.1596944,798.79
"183","04175748",2021-10-06,36.7,3.13,41.8579611,-84.1596944,798.79
"184","04175748",2021-10-07,38.2,2.67,41.8579611,-84.1596944,798.79
"185","04175748",2021-10-08,116,2.35,41.8579611,-84.1596944,798.79
"186","04175748",2021-10-09,56.4,2.35,41.8579611,-84.1596944,798.79
"187","04175748",2021-10-10,32.1,1.83,41.8579611,-84.1596944,798.79
"188","04175748",2021-10-11,22.6,1.29,41.8579611,-84.1596944,798.79
"189","04175748",2021-10-12,15.2,0.969,41.8579611,-84.1596944,798.79
"190","04175748",2021-10-13,11.5,0.951,41.8579611,-84.1596944,798.79
"191","04175748",2021-10-14,16.8,1.03,41.8579611,-84.1596944,798.79
"192","04175748",2021-10-15,86.4,2.55,41.8579611,-84.1596944,798.79
"193","04175748",2021-10-16,86.7,2.76,41.8579611,-84.1596944,798.79
"194","04175748",2021-10-17,47.6,2.12,41.8579611,-84.1596944,798.79
"195","04175748",2021-10-18,23.5,1.3,41.8579611,-84.1596944,798.79
"196","04175748",2021-10-19,15.1,0.823,41.8579611,-84.1596944,798.79
"197","04175748",2021-10-20,11.3,0.825,41.8579611,-84.1596944,798.79
"198","04175748",2021-10-21,18.1,0.83,41.8579611,-84.1596944,798.79
"199","04175748",2021-10-22,13.5,0.835,41.8579611,-84.1596944,798.79
"200","04175748",2021-10-23,10.1,0.84,41.8579611,-84.1596944,798.79
"201","04175748",2021-10-24,11.5,1.33,41.8579611,-84.1596944,798.79
"202","04175748",2021-10-25,305,1.63,41.8579611,-84.1596944,798.79
"203","04175748",2021-10-26,201,2.07,41.8579611,-84.1596944,798.79
"204","04175748",2021-10-27,89.6,2.29,41.8579611,-84.1596944,798.79
"205","04175748",2021-10-28,62.5,2.2,41.8579611,-84.1596944,798.79
"206","04175748",2021-10-29,112,1.93,41.8579611,-84.1596944,798.79
"207","04175748",2021-10-30,154,1.88,41.8579611,-84.1596944,798.79
"208","04175748",2021-10-31,72.7,2.13,41.8579611,-84.1596944,798.79
"209","04175748",2021-11-01,47.6,2.1,41.8579611,-84.1596944,798.79
"210","04175748",2021-11-02,36.6,2.07,41.8579611,-84.1596944,798.79
"211","04175748",2021-11-03,29.7,2.03,41.8579611,-84.1596944,798.79
"212","04175748",2021-11-04,25.6,1.99,41.8579611,-84.1596944,798.79
"213","04175748",2021-11-05,21.2,1.96,41.8579611,-84.1596944,798.79
"214","04175748",2021-11-06,16.3,1.92,41.8579611,-84.1596944,798.79
"215","04175748",2021-11-07,14.3,1.89,41.8579611,-84.1596944,798.79
"216","04175748",2021-11-08,11.7,1.85,41.8579611,-84.1596944,798.79
"217","04175748",2021-11-09,10.3,1.82,41.8579611,-84.1596944,798.79
"218","04175748",2021-11-10,9.36,1.78,41.8579611,-84.1596944,798.79
"219","04175748",2021-11-11,8.95,1.74,41.8579611,-84.1596944,798.79
"220","04175748",2021-11-12,9,1.71,41.8579611,-84.1596944,798.79
"221","04175748",2021-11-13,8.62,1.67,41.8579611,-84.1596944,798.79
"222","04175748",2021-11-14,8.76,1.64,41.8579611,-84.1596944,798.79
"223","04175748",2021-11-15,10.5,1.6,41.8579611,-84.1596944,798.79
"224","04175748",2021-11-16,9.88,1.57,41.8579611,-84.1596944,798.79
"225","04175748",2021-11-17,9.32,1.53,41.8579611,-84.1596944,798.79
"226","04175748",2021-11-18,9.83,1.52,41.8579611,-84.1596944,798.79
"227","04175748",2021-11-19,10.3,1.51,41.8579611,-84.1596944,798.79
"228","04175748",2021-11-20,9.46,1.5,41.8579611,-84.1596944,798.79
"229","04175748",2021-11-21,9.7,1.48,41.8579611,-84.1596944,798.79
"230","04175748",2021-11-22,11.3,1.47,41.8579611,-84.1596944,798.79
"231","04175748",2021-11-23,9.24,1.46,41.8579611,-84.1596944,798.79
"232","04175748",2021-11-24,9.22,1.45,41.8579611,-84.1596944,798.79
"233","04175748",2021-11-25,11.3,1.5,41.8579611,-84.1596944,798.79
"234","04175748",2021-11-26,20.7,1.7,41.8579611,-84.1596944,798.79
"235","04175748",2021-11-27,14.6,1.6,41.8579611,-84.1596944,798.79
"236","04175748",2021-11-28,14.6,1.49,41.8579611,-84.1596944,798.79
"237","04175748",2021-11-29,18.9,1.48,41.8579611,-84.1596944,798.79
"238","04175748",2021-11-30,23,1.54,41.8579611,-84.1596944,798.79
"239","04175748",2021-12-01,39.6,1.81,41.8579611,-84.1596944,798.79
"240","04175748",2021-12-02,31.2,1.79,41.8579611,-84.1596944,798.79
"241","04175748",2021-12-03,21.4,1.71,41.8579611,-84.1596944,798.79
"242","04175748",2021-12-04,18,1.63,41.8579611,-84.1596944,798.79
"243","04175748",2021-12-05,28.3,1.59,41.8579611,-84.1596944,798.79
"244","04175748",2021-12-06,170,1.97,41.8579611,-84.1596944,798.79
"245","04175748",2021-12-07,69.9,2.27,41.8579611,-84.1596944,798.79
"246","04175748",2021-12-08,37.6,2.53,41.8579611,-84.1596944,798.79
"247","04175748",2021-12-09,26.1,2.58,41.8579611,-84.1596944,798.79
"248","04175748",2021-12-10,22.6,2.54,41.8579611,-84.1596944,798.79
"249","04175748",2021-12-11,262,1.31,41.8579611,-84.1596944,798.79
"250","04175748",2021-12-12,137,1.46,41.8579611,-84.1596944,798.79
"251","04175748",2021-12-13,69.6,1.46,41.8579611,-84.1596944,798.79
"252","04175748",2021-12-14,49.9,1.54,41.8579611,-84.1596944,798.79
"253","04175748",2021-12-15,47.1,1.75,41.8579611,-84.1596944,798.79
"254","04175748",2021-12-16,43.7,1.97,41.8579611,-84.1596944,798.79
"255","04175748",2021-12-17,32.5,2.18,41.8579611,-84.1596944,798.79
"256","04175748",2021-12-18,45.9,2.07,41.8579611,-84.1596944,798.79
"257","04175748",2021-12-19,47.7,1.89,41.8579611,-84.1596944,798.79
"258","04175748",2021-12-20,32.2,1.96,41.8579611,-84.1596944,798.79
"259","04175748",2021-12-21,26.3,1.96,41.8579611,-84.1596944,798.79
"260","04175748",2021-12-22,22.2,1.97,41.8579611,-84.1596944,798.79
"261","04175748",2021-12-23,17.7,1.98,41.8579611,-84.1596944,798.79
"262","04175748",2021-12-24,16.4,1.98,41.8579611,-84.1596944,798.79
"263","04175748",2021-12-25,23.3,1.99,41.8579611,-84.1596944,798.79
"264","04175748",2021-12-26,22.6,1.99,41.8579611,-84.1596944,798.79
"265","04175748",2021-12-27,52.7,1.82,41.8579611,-84.1596944,798.79
"266","04175748",2021-12-28,66.8,1.71,41.8579611,-84.1596944,798.79
"267","04175748",2021-12-29,67.6,2.11,41.8579611,-84.1596944,798.79
"268","04175748",2021-12-30,80.6,1.41,41.8579611,-84.1596944,798.79
"269","04175748",2021-12-31,46.7,1.48,41.8579611,-84.1596944,798.79
"270","04175748",2022-01-01,39.8,1.69,41.8579611,-84.1596944,798.79
"271","04175748",2022-01-02,31.7,1.89,41.8579611,-84.1596944,798.79
"272","04175748",2022-01-03,23.9,1.95,41.8579611,-84.1596944,798.79
"273","04175748",2022-01-04,18,1.97,41.8579611,-84.1596944,798.79
"274","04175748",2022-01-05,17.1,1.98,41.8579611,-84.1596944,798.79
"275","04175748",2022-01-06,12.9,2,41.8579611,-84.1596944,798.79
"276","04175748",2022-01-07,9.28,2.01,41.8579611,-84.1596944,798.79
"277","04175748",2022-01-08,7.16,2.03,41.8579611,-84.1596944,798.79
"278","04175748",2022-01-09,5.86,2.04,41.8579611,-84.1596944,798.79
"279","04175748",2022-01-10,5.07,2.06,41.8579611,-84.1596944,798.79
"280","04175748",2022-01-11,4.56,2.07,41.8579611,-84.1596944,798.79
"281","04175748",2022-01-12,4.18,2.09,41.8579611,-84.1596944,798.79
"282","04175748",2022-01-13,3.79,2.1,41.8579611,-84.1596944,798.79
"283","04175748",2022-01-14,3.59,2.12,41.8579611,-84.1596944,798.79
"284","04175748",2022-01-15,3.32,2.13,41.8579611,-84.1596944,798.79
"285","04175748",2022-01-16,3.07,2.15,41.8579611,-84.1596944,798.79
"286","04175748",2022-01-17,2.86,2.16,41.8579611,-84.1596944,798.79
"287","04175748",2022-01-18,2.72,2.18,41.8579611,-84.1596944,798.79
"288","04175748",2022-01-19,2.53,2.19,41.8579611,-84.1596944,798.79
"289","04175748",2022-01-20,2.39,2.19,41.8579611,-84.1596944,798.79
"290","04175748",2022-01-21,2.28,2.19,41.8579611,-84.1596944,798.79
"291","04175748",2022-01-22,2.15,2.19,41.8579611,-84.1596944,798.79
"292","04175748",2022-01-23,2.07,2.18,41.8579611,-84.1596944,798.79
"293","04175748",2022-01-24,1.99,2.18,41.8579611,-84.1596944,798.79
"294","04175748",2022-01-25,1.93,2.18,41.8579611,-84.1596944,798.79
"295","04175748",2022-01-26,1.85,2.18,41.8579611,-84.1596944,798.79
"296","04175748",2022-01-27,1.81,2.18,41.8579611,-84.1596944,798.79
"297","04175748",2022-01-28,1.8,2.18,41.8579611,-84.1596944,798.79
"298","04175748",2022-01-29,1.8,2.18,41.8579611,-84.1596944,798.79
"299","04175748",2022-01-30,1.77,2.17,41.8579611,-84.1596944,798.79
"300","04175748",2022-01-31,1.77,2.17,41.8579611,-84.1596944,798.79
"301","04175748",2022-02-01,1.99,2.17,41.8579611,-84.1596944,798.79
"302","04175748",2022-02-02,5.01,2.17,41.8579611,-84.1596944,798.79
"303","04175748",2022-02-03,6.29,2.17,41.8579611,-84.1596944,798.79
"304","04175748",2022-02-04,5.34,2.17,41.8579611,-84.1596944,798.79
"305","04175748",2022-02-05,4.57,2.17,41.8579611,-84.1596944,798.79
"306","04175748",2022-02-06,3.89,2.16,41.8579611,-84.1596944,798.79
"307","04175748",2022-02-07,3.51,2.16,41.8579611,-84.1596944,798.79
"308","04175748",2022-02-08,3.21,2.16,41.8579611,-84.1596944,798.79
"309","04175748",2022-02-09,3.13,2.16,41.8579611,-84.1596944,798.79
"310","04175748",2022-02-10,3.18,2.16,41.8579611,-84.1596944,798.79
"311","04175748",2022-02-11,3.66,2.16,41.8579611,-84.1596944,798.79
"312","04175748",2022-02-12,4.1,2.16,41.8579611,-84.1596944,798.79
"313","04175748",2022-02-13,3.96,2.15,41.8579611,-84.1596944,798.79
"314","04175748",2022-02-14,3.33,2.15,41.8579611,-84.1596944,798.79
"315","04175748",2022-02-15,3.05,2.15,41.8579611,-84.1596944,798.79
"316","04175748",2022-02-16,26.4,2.06,41.8579611,-84.1596944,798.79
"317","04175748",2022-02-17,383,0.769,41.8579611,-84.1596944,798.79
"318","04175748",2022-02-18,180,0.385,41.8579611,-84.1596944,798.79
"319","04175748",2022-02-19,97,0.608,41.8579611,-84.1596944,798.79
"320","04175748",2022-02-20,64.1,0.828,41.8579611,-84.1596944,798.79
"321","04175748",2022-02-21,52.6,0.78,41.8579611,-84.1596944,798.79
"322","04175748",2022-02-22,143,0.631,41.8579611,-84.1596944,798.79
"323","04175748",2022-02-23,115,1,41.8579611,-84.1596944,798.79
"324","04175748",2022-02-24,70.1,1.11,41.8579611,-84.1596944,798.79
"325","04175748",2022-02-25,51.1,1.06,41.8579611,-84.1596944,798.79
"326","04175748",2022-02-26,43.6,1.16,41.8579611,-84.1596944,798.79
"327","04175748",2022-02-27,36.8,1.28,41.8579611,-84.1596944,798.79
"328","04175748",2022-02-28,29,1.41,41.8579611,-84.1596944,798.79
"329","04175748",2022-03-01,26.7,1.53,41.8579611,-84.1596944,798.79
"330","04175748",2022-03-02,29.1,1.66,41.8579611,-84.1596944,798.79
"331","04175748",2022-03-03,27.8,1.79,41.8579611,-84.1596944,798.79
"332","04175748",2022-03-04,20.4,1.91,41.8579611,-84.1596944,798.79
"333","04175748",2022-03-05,20.7,1.8,41.8579611,-84.1596944,798.79
"334","04175748",2022-03-06,43.3,1.54,41.8579611,-84.1596944,798.79
"335","04175748",2022-03-07,81.5,2.44,41.8579611,-84.1596944,798.79
"336","04175748",2022-03-08,62,2.57,41.8579611,-84.1596944,798.79
"337","04175748",2022-03-09,38.5,2.05,41.8579611,-84.1596944,798.79
"338","04175748",2022-03-10,29.3,2,41.8579611,-84.1596944,798.79
"339","04175748",2022-03-11,25.3,2.02,41.8579611,-84.1596944,798.79
"340","04175748",2022-03-12,20.4,2.03,41.8579611,-84.1596944,798.79
"341","04175748",2022-03-13,17.4,2.04,41.8579611,-84.1596944,798.79
"342","04175748",2022-03-14,16.1,2.05,41.8579611,-84.1596944,798.79
"343","04175748",2022-03-15,16.9,2.06,41.8579611,-84.1596944,798.79
"344","04175748",2022-03-16,16.9,2.08,41.8579611,-84.1596944,798.79
"345","04175748",2022-03-17,17.5,2.09,41.8579611,-84.1596944,798.79
"346","04175748",2022-03-18,17.9,2.12,41.8579611,-84.1596944,798.79
"347","04175748",2022-03-19,122,2.9,41.8579611,-84.1596944,798.79
"348","04175748",2022-03-20,91.7,3.25,41.8579611,-84.1596944,798.79
"349","04175748",2022-03-21,47.4,2.82,41.8579611,-84.1596944,798.79
"350","04175748",2022-03-22,34.4,2.35,41.8579611,-84.1596944,798.79
"351","04175748",2022-03-23,98.5,2.1,41.8579611,-84.1596944,798.79
"352","04175748",2022-03-24,130,2.37,41.8579611,-84.1596944,798.79
"353","04175748",2022-03-25,59.6,2.3,41.8579611,-84.1596944,798.79
"354","04175748",2022-03-26,44.2,1.83,41.8579611,-84.1596944,798.79
"355","04175748",2022-03-27,31.3,1.41,41.8579611,-84.1596944,798.79
"356","04175748",2022-03-28,23.2,1.38,41.8579611,-84.1596944,798.79
"357","04175748",2022-03-29,19.3,1.38,41.8579611,-84.1596944,798.79
"358","04175748",2022-03-30,18.6,1.37,41.8579611,-84.1596944,798.79
